# HPSC COVID-19 14-day Epidemiology Reports
# https://www.hpsc.ie/a-z/respiratory/coronavirus/novelcoronavirus/surveillance/covid-1914-dayepidemiologyreports/
# Data copied from 'Table 5/6: Cumulative number of confirmed cases of COVID-19 notified in Ireland from <start date> to midnight <start date + 13 days> by age group, hospitalisation and ICU admission*'
#   * 'The number of cases hospitalised and admitted to ICU relate only to events notified in the last 14 days and do not include cases notified prior to this and admitted to hospital or ICU in the last 14 days'
#
# Following modifications have been made:
# 1) Where 'Cases admitted to ICU (n)' is '<5', and no value is specified for 'Cases admitted to ICU (%)', a value of zero has been set for the former.
# 2) Where 'Cases admitted to ICU (n)' is '<5', and a value is specified for 'Cases admitted to ICU (%)', the former has been manually calculated.
# 3) ' yrs' has been removed from the 'Age Group (years)' column values
# 4) 'Date' is the date of each report
# 5) The 'Unknown' age group rows have not been copied yet for all reports. However, these contain small values, and may be copied at a later date.
# 6) In certain reports, the 0-4 and 5-12 age groups have been merged due to '^ 0-4 yrs and 5-12 yrs(, and 13-18 yrs and 19-24 yrs age groups) are combined in this table due to the hospitalisation data for one or both of these age categories being <5'. In order to retain the same age group categories for all report dates, estimates for the 0-4 and 5-12 age groups have been generated from the provided single values based on their respective percentages from the previous report data, or from Table 1.
# 7) In certain reports, the 13-18 and 19-24 age groups have been merged due to '13-18 yrs and 19-24 yrs age groups are combined in this table due to the hospitalisation data for one or both of these age categories being <5'. In order to retain the same age group categories for all report dates, estimates for the 13-18 and 19-24 age groups have been generated from the provided single values based on their respective percentages from the previous report data, or from Table 1. This has also appeared in the report statement covered by modification 6.
"Date" "Age Group (years)" "Number of cases (n)" "Cases hospitalised (n)" "Cases hospitalised (%)" "Cases admitted to ICU (n)" "Cases admitted to ICU (%)"
2021-01-01 0-4 473 3 0.63 0 0
2021-01-01 5-12 831 8 0.96 0 0
2021-01-01 13-18 920 10 1.09 0 0
2021-01-01 19-24 2422 34 1.4 0 0
2021-01-01 25-34 3023 46 1.52 3 0.1
2021-01-01 35-44 2364 40 1.69 1 0.04
2021-01-01 45-54 2107 58 2.75 1 0.05
2021-01-01 55-64 1670 55 3.29 2 0.12
2021-01-01 65-74 795 70 8.81 5 0.63
2021-01-01 75-84 422 89 21.09 2 0.47
2021-01-01 85+ 272 71 26.1 0 0
2021-01-02 0-4 552 3 0.57 0 0
2021-01-02 5-12 923 8 1.53 0 0
2021-01-02 13-18 1101 10 1.92 0 0
2021-01-02 19-24 2992 37 7.09 0 0
2021-01-02 25-34 3538 55 10.54 3 21.43
2021-01-02 35-44 2793 45 8.62 1 7.14
2021-01-02 45-54 2508 59 11.30 1 7.14
2021-01-02 55-64 1989 60 11.49 2 14.29
2021-01-02 65-74 951 81 15.52 5 35.71
2021-01-02 75-84 491 92 17.62 2 14.29
2021-01-02 85+ 328 72 13.79 0 0
2021-01-03 0-4 631 4 0.70 0 0
2021-01-03 5-12 1101 6 1.05 0 0
2021-01-03 13-18 1343 13 2.27 0 0
2021-01-03 19-24 3628 41 7.17 0 0
2021-01-03 25-34 4412 61 10.66 2 20.00
2021-01-03 35-44 3412 50 8.74 0 0
2021-01-03 45-54 3147 70 12.24 1 10.00
2021-01-03 55-64 2518 64 11.19 2 20.00
2021-01-03 65-74 1203 92 16.08 5 50.00
2021-01-03 75-84 598 98 17.13 0 0
2021-01-03 85+ 374 73 12.76 0 0
2021-01-04 0-4 736 9 1.32 0 0
2021-01-04 5-12 1304 7 1.02 0 0
2021-01-04 13-18 1666 17 2.49 0 0
2021-01-04 19-24 4417 44 6.44 0 0
2021-01-04 25-34 5563 76 11.13 3 25.00
2021-01-04 35-44 4241 65 9.52 0 0
2021-01-04 45-54 3918 81 11.86 1 8.33
2021-01-04 55-64 3253 75 10.98 3 25
2021-01-04 65-74 1490 92 13.47 5 41.67
2021-01-04 75-84 729 129 18.89 0 0
2021-01-04 85+ 433 88 12.88 0 0
2021-01-05 0-4 806 8 1.10 0 0
2021-01-05 5-12 1470 7 0.97 0 0
2021-01-05 13-18 1965 18 2.49 1 3.70
2021-01-05 19-24 5083 42 5.80 0 0
2021-01-05 25-34 6458 79 10.91 3 11.11
2021-01-05 35-44 4898 66 9.12 0 0
2021-01-05 45-54 4550 82 11.33 1 3.70
2021-01-05 55-64 3823 75 10.36 6 22.22
2021-01-05 65-74 1727 110 15.19 10 37.04
2021-01-05 75-84 846 139 19.20 6 22.22
2021-01-05 85+ 482 98 13.54 0 0
2021-01-06 0-4 927 8 0.99 0 0
2021-01-06 5-12 1698 7 0.87 0 0
2021-01-06 13-18 2375 16 1.98 1 3.45
2021-01-06 19-24 6106 39 4.83 0 0
2021-01-06 25-34 7913 85 10.52 3 10.34
2021-01-06 35-44 5997 68 8.42 0 0
2021-01-06 45-54 5583 86 10.64 2 6.90
2021-01-06 55-64 4690 85 10.52 7 24.14
2021-01-06 65-74 2076 130 16.09 10 34.48
2021-01-06 75-84 1046 165 20.42 6 20.69
2021-01-06 85+ 590 119 14.73 0 0
2021-01-07 0-4 1021 11 1.22 0 0
2021-01-07 5-12 1856 7 0.78 0 0
2021-01-07 13-18 2713 21 2.33 1 2.94
2021-01-07 19-24 6880 40 4.44 0 0
2021-01-07 25-34 9034 87 9.66 3 8.82
2021-01-07 35-44 6954 76 8.44 0 0
2021-01-07 45-54 6443 98 10.88 3 8.82
2021-01-07 55-64 5431 95 10.54 9 26.47
2021-01-07 65-74 2379 155 17.20 13 38.24
2021-01-07 75-84 1174 179 19.87 4 11.76
2021-01-07 85+ 699 131 14.54 1 2.94
2021-01-08 0-4 1122 15 1.4 1 1.6
2021-01-08 5-12 2072 5 0.5 0 0.0
2021-01-08 13-18 3124 23 2.2 1 1.6
2021-01-08 19-24 7908 41 3.8 0 0.0
2021-01-08 25-34 10454 99 9.3 4 6.6
