Date,Cases,Deaths
02/07/2021,448,2
03/07/2021,512,0
04/07/2021,448,0
05/07/2021,562,0
06/07/2021,335,0
07/07/2021,397,0
08/07/2021,533,6
09/07/2021,533,0
10/07/2021,631,0
11/07/2021,581,0
12/07/2021,576,0
13/07/2021,572,0
14/07/2021,589,0
15/07/2021,737,12
16/07/2021,994,0
17/07/2021,1170,0
18/07/2021,1377,0
19/07/2021,1149,0
20/07/2021,1101,0
21/07/2021,1110,0
22/07/2021,1260,0
23/07/2021,1188,8
24/07/2021,1386,0
25/07/2021,1345,0
26/07/2021,1126,0
27/07/2021,1276,0
28/07/2021,1114,0`
29/07/2021,1301,9
30/07/2021,1361,0
31/07/2021,1501,0
01/08/2021,1427,0
02/08/2021,1098,0
03/08/2021,1352,0
04/08/2021,884,0
05/08/2021,1217,9
06/08/2021,1492,0
07/08/2021,1781,0
08/08/2021,1828,0
09/08/2021,1837,0
10/08/2021,1411,0
11/08/2021,1509,0
12/08/2021,1819,15
13/08/2021,1733,0
14/08/2021,1978,0
15/08/2021,2074,0
16/08/2021,1758,0
17/08/2021,1441,0
18/08/2021,1496,0
19/08/2021,1701,15
20/08/2021,1818,0
21/08/2021,2098,0
22/08/2021,2125,0
23/08/2021,1688,0
24/08/2021,1590,0
25/08/2021,1571,0
26/08/2021,2051,18
27/08/2021,1866,0
28/08/2021,1875,0
29/08/2021,1997,0
30/08/2021,1706,0
31/08/2021,1292,0
01/09/2021,1382,0
02/09/2021,1789,20
03/09/2021,-1707,0
04/09/2021,1413,0
05/09/2021,1703,0
06/09/2021,1180,0
07/09/2021,1136,0
08/09/2021,1465,0
09/09/2021,1537,43
10/09/2021,1271,0
11/09/2021,1619,0
12/09/2021,1466,0
13/09/2021,1346,0
14/09/2021,877,0
15/09/2021,1176,0
16/09/2021,1181,24
17/09/2021,1408,0
18/09/2021,1386,0
19/09/2021,1456,0
20/09/2021,1224,0
21/09/2021,1150,0
22/09/2021,1420,0
23/09/2021,1429,30
24/09/2021,1354,0
25/09/2021,1163,0
26/09/2021,1335,0
27/09/2021,1459,0
28/09/2021,1044,0
29/09/2021,1497,0
30/09/2021,1447,40
01/10/2021,1267,0
02/10/2021,1057,0
03/10/2021,1586,0
04/10/2021,1051,0
05/10/2021,893,0
06/10/2021,1124,0
07/10/2021,982,31
08/10/2021,1206,0
09/10/2021,2002,0
10/10/2021,1940,0
11/10/2021,1384,0
12/10/2021,1357,0
13/10/2021,1456,0
14/10/2021,2051,26
15/10/2021,1626,0
16/10/2021,1907,0
17/10/2021,2180,0
18/10/2021,1380,0
19/10/2021,1576,0
20/10/2021,2397,0
21/10/2021,2147,63
22/10/2021,2026,0
23/10/2021,2465,0
24/10/2021,2427,0
25/10/2021,1725,0
26/10/2021,1845,0
27/10/2021,2180,0
